#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
KO|KIZO|40.9005|35.9334|1050.0|Kizoglu, Ladik, Samsun, Turkiye|2013-12-04T00:00:00|2021-05-30T00:00:00
KO|ESKT|39.5212|30.8492|1295.0|Seyitgazi, Eskisehir, Turkiye|2002-10-04T00:00:00|
KO|CUND|39.336|26.6663|10.0|Alibey Island, Ayvalik, Balikesir, Turkiye|2011-04-22T00:00:00|2012-04-14T00:00:00
KO|KULU|39.0343|33.0023|1120.0|Kulu, Konya, Turkiye|2009-06-16T00:00:00|
KO|LAPK|40.3151|26.6425|2.0|T4/KO, Lapseki, Canakkale, Turkiye|2020-09-10T00:00:00|
KO|BIGA|40.28134|27.15048|60.0|T4/KO, Biga, Canakkale, Turkiye|2019-11-21T00:00:00|
KO|ORLT|40.0452|28.8914|650.0|Orhaneli, Bursa, Turkiye|2002-04-03T00:00:00|
KO|MALT|38.3134|38.4273|1112.0|Malatya, Turkiye|2011-11-26T00:00:00|2016-06-02T00:00:00
KO|AFSR|39.4468|33.0707|1055.0|Afsar, Bala, Ankara, Turkiye|2008-09-05T00:00:00|
KO|GAZ|37.1721|37.2096|992.0|Sehitkamil, Gaziantep, Turkiye|2001-11-27T00:00:00|
KO|YALI|40.7676|32.9822|1217.0|Yaliozu, Cerkes, Cankiri, Turkiye|2019-12-20T00:00:00|
KO|ISK|41.0615|29.0592|85.0|KOERI, Uskudar, Istanbul, Turkiye|1997-12-16T00:00:00|
KO|GULA|38.3444|34.236|1126.0|Gulagac, Aksaray, Turkiye|2009-06-19T00:00:00|
KO|GEMT|40.435|29.189|220.0|Gemlik, Bursa, Turkiye|2006-07-07T00:00:00|2018-11-04T00:00:00
KO|DATC|36.7584|27.6602|94.0|Datca, Mugla, Turkiye|2011-04-22T00:00:00|
KO|ENEZ|40.7362|26.153|100.0|Enez, Edirne, Turkiye|2006-06-21T00:00:00|
KO|AKDN|35.2977|32.9677|85.0|Akdeniz, Girne, Turkish Republic of Northern Cyprus|2008-11-19T00:00:00|
KO|SINE|39.1636|39.3871|1210.0|Geyiksuyu, Tunceli, Turkiye|2023-06-15T00:00:00|
KO|SILV|41.0723|28.239|2.0|Silivri, Istanbul, Turkiye|2023-05-25T00:00:00|
KO|MAGT|35.1696|33.8714|23.3|Tuzla, Gazimagusa, Turkish Republic of Northern Cyprus|2023-07-11T00:00:00|
KO|CAYL|40.3745|36.159|740.0|Cayli, Turhal, Tokat, Turkiye|2023-07-13T00:00:00|
KO|HSY|35.2916|33.0974|25.7|Hisarkoy, Girne, Turkish Republic of Northern Cyprus|2023-07-12T00:00:00|
KO|BOLI|40.7175|31.5148|910.0|Abant Izzet Baysal University, Bolu, Turkiye|2023-12-28T00:00:00|
